PRCDDA,PwMode,SA_im
35200181,Car/motor,110.2627762
35200181,Transit,12.51200786
35200182,Car/motor,157.6964606
35200182,Transit,9.540925312
35200183,Car/motor,114.5805037
35200186,Car/motor,244.9445122
35200186,Transit,13.18182377
35200187,Car/motor,183.3796548
35200187,Transit,29.01669497
35200188,Car/motor,226.2845166
35200188,Transit,17.11935618
35200189,Car/motor,72.67157707
35200190,Car/motor,61.81605556
35200190,Transit,8.267097815
35200193,Car/motor,107.980917
35200196,Car/motor,158.0280144
35200196,Transit,14.17809091
35200197,Car/motor,138.7318398
35200197,Transit,10.37526465
35200198,Car/motor,189.499008
35200199,Car/motor,263.3300822
35200199,Transit,15.89782525
35200200,Car/motor,137.1539561
35200201,Car/motor,172.5867809
35200201,Transit,0.003667347
35200202,Car/motor,181.1816022
35200203,Car/motor,504.9527178
35200203,Transit,38.93331874
35200204,Car/motor,206.2797144
35200204,Transit,7.288084623
35200205,Car/motor,143.6377395
35200205,Transit,5.592150394
35200206,Car/motor,155.9484143
35200206,Transit,10.46421532
35200207,Car/motor,52.99959257
35200208,Car/motor,121.6299592
35200208,Transit,24.20031781
35200209,Car/motor,93.42173598
35200210,Car/motor,88.6521916
35200211,Car/motor,118.9532711
35200211,Transit,11.29993962
35200212,Car/motor,131.8170109
35200212,Transit,6.451615902
35200213,Car/motor,169.1629224
35200214,Car/motor,136.9448454
35200214,Transit,5.827994777
35200215,Car/motor,130.5772077
35200215,Transit,8.643107475
35200216,Car/motor,118.5368761
35200216,Transit,0.00033035
35200217,Car/motor,89.96079359
35200217,Transit,4.664803274
35200218,Car/motor,199.489875
35200218,Transit,9.824100612
35200219,Car/motor,118.2626496
35200219,Transit,8.796284169
35200220,Car/motor,111.6784872
35200220,Transit,14.35159134
35200221,Car/motor,2182.561375
35200221,Transit,162.1681495
35200222,Car/motor,255.6595748
35200222,Transit,17.32518658
35200223,Car/motor,87.30830041
35200224,Car/motor,253.1985692
35200224,Transit,17.67617475
35200232,Car/motor,138.9184637
35200232,Transit,19.63158497
35200233,Car/motor,113.2683236
35200234,Car/motor,135.8210856
35200235,Car/motor,121.8544889
35200236,Car/motor,105.3979903
35200236,Transit,10.88540643
35200237,Car/motor,133.401382
35200237,Transit,15.19494634
35200238,Car/motor,83.76048906
35200238,Transit,0.003847336
35200239,Car/motor,78.67282594
35200242,Car/motor,177.1285913
35200242,Transit,13.92674878
35200243,Car/motor,128.4575066
